,ministry,slotId,startDtTm,endDtTm,blockDate
786,TNNAS,3971894-164843615,2023-03-16 07:30:00+00:00,2023-03-16 17:00:00+00:00,2023-03-16
787,TNNAS,4175623-232691675,2023-03-14 12:00:00+00:00,2023-03-14 17:00:00+00:00,2023-03-14
788,TNNAS,3810165-113102993,2023-01-31 13:00:00+00:00,2023-01-31 17:00:00+00:00,2023-01-31
789,TNNAS,4046183-194323371,2023-02-01 13:00:00+00:00,2023-02-01 17:00:00+00:00,2023-02-01
790,TNNAS,4046191-194324321,2023-02-01 12:30:00+00:00,2023-02-01 17:00:00+00:00,2023-02-01
791,TNNAS,3810016-113067649,2023-01-30 12:30:00+00:00,2023-01-30 17:00:00+00:00,2023-01-30
792,TNNAS,3810035-113070096,2023-01-30 13:00:00+00:00,2023-01-30 17:00:00+00:00,2023-01-30
793,TNNAS,3810056-113074418,2023-01-31 12:30:00+00:00,2023-01-31 17:00:00+00:00,2023-01-31
794,TNNAS,3939697-148722416,2023-01-19 07:30:00+00:00,2023-01-19 13:00:00+00:00,2023-01-19
795,TNNAS,4046198-194324835,2023-01-18 08:30:00+00:00,2023-01-18 12:00:00+00:00,2023-01-18
796,TNNAS,3905731-134153715,2023-01-30 08:00:00+00:00,2023-01-30 16:00:00+00:00,2023-01-30
797,TNNAS,3810055-113074416,2023-01-17 07:30:00+00:00,2023-01-17 12:00:00+00:00,2023-01-17
798,TNNAS,3810025-113068884,2023-01-16 07:00:00+00:00,2023-01-16 12:00:00+00:00,2023-01-16
799,TNNAS,3963905-159256490,2023-02-02 08:30:00+00:00,2023-02-02 15:30:00+00:00,2023-02-02
800,TNNAS,4235566-254465684,2023-02-02 07:00:00+00:00,2023-02-02 15:00:00+00:00,2023-02-02
801,TNNAS,4205520-243966007,2023-02-01 14:00:00+00:00,2023-02-01 16:00:00+00:00,2023-02-01
802,TNNAS,4205484-243875763,2023-02-01 13:00:00+00:00,2023-02-01 15:00:00+00:00,2023-02-01
803,TNNAS,3810015-113067647,2023-01-16 07:30:00+00:00,2023-01-16 12:00:00+00:00,2023-01-16
804,TNNAS,3810065-113075448,2023-01-17 07:00:00+00:00,2023-01-17 12:00:00+00:00,2023-01-17
805,TNNAS,3905741-134154723,2023-01-30 07:00:00+00:00,2023-01-30 15:00:00+00:00,2023-01-30
806,TNNAS,4036130-191796231,2023-02-20 07:30:00+00:00,2023-02-20 15:30:00+00:00,2023-02-20
807,TNNAS,4187495-237538518,2023-02-16 12:00:00+00:00,2023-02-16 17:00:00+00:00,2023-02-16
808,TNNAS,4046957-195148678,2023-01-16 07:30:00+00:00,2023-01-16 15:30:00+00:00,2023-01-16
809,TNNAS,4209514-245099916,2023-02-20 07:30:00+00:00,2023-02-20 15:30:00+00:00,2023-02-20
810,TNNAS,4036130-191796231,2023-02-27 07:30:00+00:00,2023-02-27 15:30:00+00:00,2023-02-27
811,TNNAS,4036157-191811642,2023-02-10 07:30:00+00:00,2023-02-10 15:30:00+00:00,2023-02-10
812,TNNAS,4036150-191810552,2023-02-10 07:30:00+00:00,2023-02-10 15:30:00+00:00,2023-02-10
813,TNNAS,3885482-122996417,2023-01-19 07:30:00+00:00,2023-01-19 09:00:00+00:00,2023-01-19
814,TNNAS,4217666-247849836,2023-02-09 07:15:00+00:00,2023-02-09 15:00:00+00:00,2023-02-09
815,TNNAS,4209772-245100267,2023-01-20 07:30:00+00:00,2023-01-20 15:00:00+00:00,2023-01-20
816,TNNAS,4052494-197405162,2023-02-27 08:30:00+00:00,2023-02-27 13:00:00+00:00,2023-02-27
817,TNNAS,4091435-208899620,2023-02-27 08:00:00+00:00,2023-02-27 16:00:00+00:00,2023-02-27
818,TNNAS,4073021-204920043,2023-02-27 06:30:00+00:00,2023-02-27 08:00:00+00:00,2023-02-27
819,TNNAS,4182517-235202557,2023-01-24 07:15:00+00:00,2023-01-24 13:00:00+00:00,2023-01-24
820,TNNAS,4073021-204920043,2023-02-06 16:00:00+00:00,2023-02-06 17:00:00+00:00,2023-02-06
821,TNNAS,4073021-214109122,2023-02-27 08:00:00+00:00,2023-02-27 16:00:00+00:00,2023-02-27
822,TNNAS,4073021-204920043,2023-03-06 16:00:00+00:00,2023-03-06 17:00:00+00:00,2023-03-06
823,TNNAS,4073021-204920043,2023-02-27 16:00:00+00:00,2023-02-27 17:00:00+00:00,2023-02-27
824,TNNAS,4073021-204920043,2023-02-06 06:30:00+00:00,2023-02-06 08:00:00+00:00,2023-02-06
825,TNNAS,4073021-214109122,2023-02-06 08:00:00+00:00,2023-02-06 16:00:00+00:00,2023-02-06
826,TNNAS,4073021-204920043,2023-03-06 06:30:00+00:00,2023-03-06 08:00:00+00:00,2023-03-06
827,TNNAS,4073021-214109122,2023-03-06 08:00:00+00:00,2023-03-06 16:00:00+00:00,2023-03-06
828,TNNAS,4073021-204920043,2023-01-23 06:30:00+00:00,2023-01-23 08:00:00+00:00,2023-01-23
829,TNNAS,4073021-204920043,2023-01-23 16:00:00+00:00,2023-01-23 17:00:00+00:00,2023-01-23
830,TNNAS,4073021-214109122,2023-01-23 08:00:00+00:00,2023-01-23 16:00:00+00:00,2023-01-23
831,TNNAS,4073021-214109122,2023-04-03 08:00:00+00:00,2023-04-03 16:00:00+00:00,2023-04-03
832,TNNAS,4073021-204920043,2023-04-03 06:30:00+00:00,2023-04-03 08:00:00+00:00,2023-04-03
833,TNNAS,4169435-229603325,2023-03-31 08:00:00+00:00,2023-03-31 16:00:00+00:00,2023-03-31
834,TNNAS,4073021-214109122,2023-03-13 08:00:00+00:00,2023-03-13 16:00:00+00:00,2023-03-13
835,TNNAS,4073021-204920043,2023-03-13 06:30:00+00:00,2023-03-13 08:00:00+00:00,2023-03-13
836,TNNAS,4073021-214109122,2023-03-20 08:00:00+00:00,2023-03-20 16:00:00+00:00,2023-03-20
837,TNNAS,4073021-214109122,2023-03-27 08:00:00+00:00,2023-03-27 16:00:00+00:00,2023-03-27
838,TNNAS,4169435-229603325,2023-03-10 08:00:00+00:00,2023-03-10 16:00:00+00:00,2023-03-10
839,TNNAS,4073021-204920043,2023-03-27 16:00:00+00:00,2023-03-27 17:00:00+00:00,2023-03-27
840,TNNAS,4073021-204920043,2023-03-27 06:30:00+00:00,2023-03-27 08:00:00+00:00,2023-03-27
841,TNNAS,4073021-204920043,2023-02-20 16:00:00+00:00,2023-02-20 17:00:00+00:00,2023-02-20
842,TNNAS,4169435-229603325,2023-03-24 08:00:00+00:00,2023-03-24 16:00:00+00:00,2023-03-24
843,TNNAS,4073021-204920043,2023-03-20 16:00:00+00:00,2023-03-20 17:00:00+00:00,2023-03-20
844,TNNAS,4073021-204920043,2023-02-13 06:30:00+00:00,2023-02-13 08:00:00+00:00,2023-02-13
845,TNNAS,4169435-229603325,2023-01-27 08:00:00+00:00,2023-01-27 16:00:00+00:00,2023-01-27
846,TNNAS,4073021-204920043,2023-02-20 06:30:00+00:00,2023-02-20 08:00:00+00:00,2023-02-20
847,TNNAS,4169435-229603325,2023-02-10 08:00:00+00:00,2023-02-10 16:00:00+00:00,2023-02-10
848,TNNAS,4073021-214109122,2023-02-13 08:00:00+00:00,2023-02-13 16:00:00+00:00,2023-02-13
849,TNNAS,4073021-214109122,2023-02-20 08:00:00+00:00,2023-02-20 16:00:00+00:00,2023-02-20
850,TNNAS,4073021-204920043,2023-01-30 06:30:00+00:00,2023-01-30 08:00:00+00:00,2023-01-30
851,TNNAS,4169435-229603325,2023-03-03 08:00:00+00:00,2023-03-03 16:00:00+00:00,2023-03-03
852,TNNAS,4073021-204920043,2023-02-13 16:00:00+00:00,2023-02-13 17:00:00+00:00,2023-02-13
853,TNNAS,4073021-204920043,2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,2023-01-30
854,TNNAS,4073021-214109122,2023-01-30 08:00:00+00:00,2023-01-30 16:00:00+00:00,2023-01-30
855,TNNAS,4073021-204920043,2023-03-13 16:00:00+00:00,2023-03-13 17:00:00+00:00,2023-03-13
856,TNNAS,4169435-229603325,2023-02-03 08:00:00+00:00,2023-02-03 16:00:00+00:00,2023-02-03
857,TNNAS,4169435-229603325,2023-02-24 08:00:00+00:00,2023-02-24 16:00:00+00:00,2023-02-24
858,TNNAS,4169435-229603325,2023-03-17 08:00:00+00:00,2023-03-17 16:00:00+00:00,2023-03-17
859,TNNAS,4073021-204920043,2023-03-20 06:30:00+00:00,2023-03-20 08:00:00+00:00,2023-03-20
860,TNNAS,4169435-229603325,2023-02-17 08:00:00+00:00,2023-02-17 16:00:00+00:00,2023-02-17
861,TNNAS,4073021-204920043,2023-04-03 16:00:00+00:00,2023-04-03 17:00:00+00:00,2023-04-03
862,TNNAS,4169435-229603325,2023-04-07 08:00:00+00:00,2023-04-07 16:00:00+00:00,2023-04-07
863,TNNAS,4199464-241199787,2023-01-27 08:30:00+00:00,2023-01-27 16:00:00+00:00,2023-01-27
864,TNNAS,4199464-241199787,2023-02-03 08:30:00+00:00,2023-02-03 16:00:00+00:00,2023-02-03
865,TNNAS,4204071-243506226,2023-02-06 07:30:00+00:00,2023-02-06 12:00:00+00:00,2023-02-06
866,TNNAS,4209594-245088987,2023-04-28 07:30:00+00:00,2023-04-28 15:00:00+00:00,2023-04-28
867,TNNAS,4187495-237538518,2023-03-16 12:00:00+00:00,2023-03-16 17:00:00+00:00,2023-03-16
868,TNNAS,3810015-113067647,2023-02-13 07:30:00+00:00,2023-02-13 12:00:00+00:00,2023-02-13
869,TNNAS,3810055-113074416,2023-02-14 07:30:00+00:00,2023-02-14 12:00:00+00:00,2023-02-14
870,TNNAS,4046198-194324835,2023-02-15 08:30:00+00:00,2023-02-15 12:00:00+00:00,2023-02-15
871,TNNAS,4046172-194321090,2023-02-15 07:30:00+00:00,2023-02-15 12:00:00+00:00,2023-02-15
872,TNNAS,3810025-113068884,2023-02-13 07:00:00+00:00,2023-02-13 12:00:00+00:00,2023-02-13
873,TNNAS,3810065-113075448,2023-02-14 07:00:00+00:00,2023-02-14 12:00:00+00:00,2023-02-14
874,TNNAS,4046208-194326321,2023-03-29 12:30:00+00:00,2023-03-29 17:00:00+00:00,2023-03-29
875,TNNAS,4046201-194325706,2023-03-29 13:00:00+00:00,2023-03-29 17:00:00+00:00,2023-03-29
876,TNNAS,3810165-113102993,2023-03-21 13:00:00+00:00,2023-03-21 17:00:00+00:00,2023-03-21
