,room,blockDate,block_status
597,MT OR 12,2023-07-14,False
598,MT OR 14,2023-07-14,True
599,MT OR 15,2023-07-14,True
600,MT OR 16,2023-07-14,False
601,MT OR 17,2023-07-14,False
602,BH JRI 02,2023-07-15,False
603,BH JRI 03,2023-07-15,False
604,BH JRI 04,2023-07-15,False
605,BH JRI 05,2023-07-15,False
606,BH JRI 06,2023-07-15,False
607,BH JRI 07,2023-07-15,False
608,BH JRI 08,2023-07-15,False
609,BH JRI 09,2023-07-15,False
610,STM ST OR 01,2023-07-15,False
611,STM ST OR 02,2023-07-15,False
612,STM ST OR 03,2023-07-15,False
613,STM ST OR 04,2023-07-15,False
614,STM ST OR 05,2023-07-15,False
615,STM ST OR 06,2023-07-15,False
616,STM ST OR 07,2023-07-15,False
617,STM ST OR 08,2023-07-15,False
618,STM ST OR 09,2023-07-15,False
619,STM ST OR 10,2023-07-15,False
620,STM ST OR 11,2023-07-15,False
621,STM ST OR 12,2023-07-15,False
622,STM ST OR 14,2023-07-15,False
623,STM ST OR 15,2023-07-15,False
624,STM ST OR 16,2023-07-15,False
625,STM ST OR 17,2023-07-15,False
626,STM ST OR 18,2023-07-15,False
627,STM ST OR Hybrid,2023-07-15,False
628,MT Cysto,2023-07-15,False
629,MT OR 01,2023-07-15,False
630,MT OR 02,2023-07-15,False
631,MT OR 03,2023-07-15,False
632,MT OR 04,2023-07-15,False
633,MT OR 05,2023-07-15,False
634,MT OR 06,2023-07-15,False
635,MT OR 07,2023-07-15,False
636,MT OR 08,2023-07-15,False
637,MT OR 09,2023-07-15,False
638,MT OR 10,2023-07-15,False
639,MT OR 11,2023-07-15,False
640,MT OR 12,2023-07-15,False
641,MT OR 14,2023-07-15,False
642,MT OR 15,2023-07-15,False
643,MT OR 16,2023-07-15,False
644,MT OR 17,2023-07-15,False
645,BH JRI 02,2023-07-16,False
646,BH JRI 03,2023-07-16,False
647,BH JRI 04,2023-07-16,False
648,BH JRI 05,2023-07-16,False
649,BH JRI 06,2023-07-16,False
650,BH JRI 07,2023-07-16,False
651,BH JRI 08,2023-07-16,False
652,BH JRI 09,2023-07-16,False
653,STM ST OR 01,2023-07-16,False
654,STM ST OR 02,2023-07-16,False
655,STM ST OR 03,2023-07-16,False
656,STM ST OR 04,2023-07-16,False
657,STM ST OR 05,2023-07-16,False
658,STM ST OR 06,2023-07-16,False
659,STM ST OR 07,2023-07-16,False
660,STM ST OR 08,2023-07-16,False
661,STM ST OR 09,2023-07-16,False
662,STM ST OR 10,2023-07-16,False
663,STM ST OR 11,2023-07-16,False
664,STM ST OR 12,2023-07-16,False
665,STM ST OR 14,2023-07-16,False
666,STM ST OR 15,2023-07-16,False
667,STM ST OR 16,2023-07-16,False
668,STM ST OR 17,2023-07-16,False
669,STM ST OR 18,2023-07-16,False
670,STM ST OR Hybrid,2023-07-16,False
671,MT Cysto,2023-07-16,False
672,MT OR 01,2023-07-16,False
673,MT OR 02,2023-07-16,False
674,MT OR 03,2023-07-16,False
675,MT OR 04,2023-07-16,False
676,MT OR 05,2023-07-16,False
677,MT OR 06,2023-07-16,False
678,MT OR 07,2023-07-16,False
679,MT OR 08,2023-07-16,False
680,MT OR 09,2023-07-16,False
681,MT OR 10,2023-07-16,False
682,MT OR 11,2023-07-16,False
683,MT OR 12,2023-07-16,False
684,MT OR 14,2023-07-16,False
685,MT OR 15,2023-07-16,False
686,MT OR 16,2023-07-16,False
687,MT OR 17,2023-07-16,False
688,BH JRI 02,2023-07-17,False
689,BH JRI 03,2023-07-17,False
690,BH JRI 04,2023-07-17,False
691,BH JRI 05,2023-07-17,False
692,BH JRI 06,2023-07-17,False
693,BH JRI 07,2023-07-17,False
694,BH JRI 08,2023-07-17,False
695,BH JRI 09,2023-07-17,False
696,STM ST OR 01,2023-07-17,False
697,STM ST OR 02,2023-07-17,False
698,STM ST OR 03,2023-07-17,False
699,STM ST OR 04,2023-07-17,False
700,STM ST OR 05,2023-07-17,False
701,STM ST OR 06,2023-07-17,False
702,STM ST OR 07,2023-07-17,True
703,STM ST OR 08,2023-07-17,False
704,STM ST OR 09,2023-07-17,False
705,STM ST OR 10,2023-07-17,True
706,STM ST OR 11,2023-07-17,True
707,STM ST OR 12,2023-07-17,False
708,STM ST OR 14,2023-07-17,False
709,STM ST OR 15,2023-07-17,False
710,STM ST OR 16,2023-07-17,False
711,STM ST OR 17,2023-07-17,False
712,STM ST OR 18,2023-07-17,True
713,STM ST OR Hybrid,2023-07-17,True
714,MT Cysto,2023-07-17,True
715,MT OR 01,2023-07-17,True
716,MT OR 02,2023-07-17,True
717,MT OR 03,2023-07-17,True
718,MT OR 04,2023-07-17,False
719,MT OR 05,2023-07-17,True
720,MT OR 06,2023-07-17,True
721,MT OR 07,2023-07-17,False
722,MT OR 08,2023-07-17,True
723,MT OR 09,2023-07-17,True
724,MT OR 10,2023-07-17,True
725,MT OR 11,2023-07-17,False
726,MT OR 12,2023-07-17,False
727,MT OR 14,2023-07-17,True
728,MT OR 15,2023-07-17,False
729,MT OR 16,2023-07-17,True
